WKT,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,ciclo_obse,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP
"MULTILINESTRING ((-58.4703470962021 -34.5734716746348,-58.4706985925528 -34.5730547441072))","3650","21059",TRONADOR,"1852","1900","1851","1899",ESTOMBA Y PLAZA,TRONADOR,CALLE,56.39,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4682879308491 -34.573026767265,-58.4691341429772 -34.5735092745945))","3658","12168",LA PAMPA,"3802","3900","3821","3899","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,94.31,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"0","15","12",,VILLA ORTUZAR,VILLA URQUIZA
"MULTILINESTRING ((-58.4824974623581 -34.5732498710777,-58.4835886550524 -34.5738955524986))","3707","2083",BLANCO ENCALADA,"4702","4800","4701","4799",,BLANCO ENCALADA,CALLE,123.11,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4691341429772 -34.5735092745945,-58.4699258739946 -34.5739607220339))","3714","12168",LA PAMPA,"3902","4000","3901","3999","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,88.24,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"0","15","12",,VILLA ORTUZAR,VILLA URQUIZA
"MULTILINESTRING ((-58.4699258739946 -34.5739607220339,-58.4703470962021 -34.5734716746348))","3715","21059",TRONADOR,"1802","1850","1801","1849",ESTOMBA Y PLAZA,TRONADOR,CALLE,66.61,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4962436219896 -34.5742266728936,-58.4963443762431 -34.5741012910707,-58.4969608095535 -34.5733363187429))","3756","3115",CERETTI,"2902","3000","2901","2999",,CERETTI,CALLE,118.69,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2010,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4597989363147 -34.5742560687768,-58.4605218573154 -34.5739382641701))","3758","20127",SUPERI,"1408","1440","1407","1437",,SUPERI,CALLE,75.12,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4594027797364 -34.5744157782406,-58.459577146351 -34.5743535993551,-58.4597989363147 -34.5742560687768))","3784","20127",SUPERI,"1402","1406","1401","1405",,SUPERI,CALLE,40.47,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4395993459519 -34.5745091751831,-58.4406860906116 -34.573753098786))","3802","27007",ZAPATA,"202","300","201","299",,ZAPATA,CALLE,130.31,CRECIENTE,"1",,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4249896110082 -34.5745562397458,-58.4273313065001 -34.57283144932))","3818","3120",CERVIÑO AV.,"4802","4900","4801","4899",,AV. CERVIÑO,AVENIDA,287.72,DOBLE,"2",,Ciclovías,,,Construcción Año 2012,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4835886550524 -34.5738955524986,-58.4848321147578 -34.5746269736666))","3822","2083",BLANCO ENCALADA,"4802","4900","4801","4899",,BLANCO ENCALADA,CALLE,140.01,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4848321147578 -34.5746269736666,-58.4853965888823 -34.574963217434))","3860","2083",BLANCO ENCALADA,"4902","5000","4901","4999",,BLANCO ENCALADA,CALLE,63.83,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
